Scenarios,Run,Objective Value,scenario_variance,Runtime
27,1,5342421854571.043,2.1657184044841543e+21,1199.5790011882782
27,2,5314393066264.039,8.625520988065909e+20,1238.6023788452148
27,3,5333907434613.534,2.236820684235496e+21,1130.0079741477966
27,4,5362399462912.856,2.1884703974886183e+21,1172.2642872333527
27,5,5241391466266.04,8.936056923597811e+20,1250.4540975093842
27,6,5284173612496.173,1.2287162964761408e+21,1200.3611249923706
27,7,5288600933478.688,7.363290367096029e+20,1281.4689619541168
27,8,5290663642232.79,1.2491576464317657e+21,1238.2514321804047
27,9,5327842207044.139,1.8310278118073078e+21,1292.770120382309
27,10,5349960654520.463,1.8169967780381626e+21,1241.8814804553986
