seed,num_of_sce, runtime
20,5,485.851880
16,5,537.134338
15,5,543.491343
19,5,549.993446
11,5,666.232528
12,5,729.625804
13,5,769.224449
18,5,787.754795
14,5,956.184407
17,5,1201.193424
14,10,1137.147790
19,10,1217.386328
12,10,1243.965728
20,10,1327.527653
15,10,1335.480244
11,10,1440.602327
18,10,1468.438831
13,10,1508.393425
16,10,1560.051796
17,10,1633.602655
13,20,2619.657575
15,20,2585.325144
12,20,3522.387686
14,20,3176.932250
19,20,3596.972718
16,20,4066.448323
20,20,4213.156609
17,20,4516.903869
11,20,4452.263454
18,20,5980.965271
