seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
51,5,3,6,4,257,8,0.8335425093993342,1.8490259939436955
51,10,6,12,8,65,6,0.335308545769321,1.972634425180135
51,20,12,24,16,129,7,1.1254907465575017,0.37787952666353053
51,40,24,48,32,2049,11,0.010682805851941816,3.2850560814761294
38,5,3,6,4,257,8,0.08126427962202483,0.9114522048247496
38,10,6,12,8,2049,11,1.568330510053224,3.9589746410254776
38,20,12,24,16,9,3,0.821971407456005,0.7455371226230326
38,40,24,48,32,4097,12,0.5421008208977485,2.778237053088767
37,5,3,6,4,257,8,2.0332905884204693e-14,0.6050039122620926
37,10,6,12,8,257,8,2.074989514318896e-14,0.018895049596867625
37,20,12,24,16,33,5,0.41225507784593707,0.31321766617420843
37,40,24,48,32,4097,12,3.192070296019309,5.144752578472871
79,5,3,6,4,257,8,0.08498960589961062,1.6187104800621492
79,10,6,12,8,257,8,0.5434625047972107,0.06103786199787274
79,20,12,24,16,129,7,1.814418137614764,1.546527996241059
79,40,24,48,32,513,9,0.0916504899948026,1.6692673943424816
28,5,3,6,4,257,8,0.06414340183827255,1.3221401291585453
28,10,6,12,8,257,8,0.17804626227891862,0.441636323547936
28,20,12,24,16,65,6,1.585296626737995,0.24785924761195793
28,40,24,48,32,257,8,0.18217911921817792,1.279975231833942
40,5,3,6,4,1025,10,0.0,0.18298986159749697
40,10,6,12,8,1025,10,0.0,1.6884211512425589
40,20,12,24,16,1025,10,1.111814450223657,0.8507431554976085
40,40,24,48,32,4097,12,0.6417472681255888,4.77550090519628
2,5,3,6,4,513,9,1.1275755482384682e-14,0.4620887421539078
2,10,6,12,8,257,8,1.357010855861757,1.1485871892209663
2,20,12,24,16,2049,11,1.5906362827275107,0.29961658162045585
2,40,24,48,32,4097,12,0.18255224983813434,4.227591897191217
7,5,3,6,4,513,9,0.0,0.27562967324888904
7,10,6,12,8,33,5,1.3249591143279993,1.8451727694919973
7,20,12,24,16,257,8,0.019368033083428986,1.5743405072746883
7,40,24,48,32,17,4,1.6118133614039158,0.8391572229016337
72,5,3,6,4,257,8,0.0,0.13981721303751282
72,10,6,12,8,1025,10,1.1615258849570205e-14,1.8844402396652378
72,20,12,24,16,2049,11,2.0638963334996503e-14,0.11344445299474408
72,40,24,48,32,4097,12,0.24581480405422318,2.5264465686983746
76,5,3,6,4,513,9,0.8391509987087524,0.14003073956533912
76,10,6,12,8,2049,11,0.0,0.8346986213037519
76,20,12,24,16,1025,10,0.05241248166605053,1.4138433021898231
76,40,24,48,32,2049,11,0.012696608843104544,0.9399942388878122
