L,N,mean_E_Q,std_E_Q,min_E_Q,max_E_Q,avg_exec_time,num_periods,CV
12,5,1177054511062.31,85189080452.16394,1080718775901.4559,1286091462998.199,32.70686826705933,8,7.23747962830366
12,10,1200863812863.9768,134965595002.37634,1076711773553.742,1423739595647.3245,62.918796920776366,8,11.239042558913718
12,20,1160655504298.722,64836918514.65236,1087462975621.9963,1261398299826.2893,125.5322407245636,8,5.586232803318103
12,30,1156655989132.9426,38464686552.372574,1123348287161.988,1222459159658.7778,184.16065201759338,8,3.3255079222999258
24,5,1103999630089.6829,41656277943.52037,1068782021013.7432,1171598615025.4246,36.907880783081055,8,3.773214846107914
24,10,1112162997922.89,71071017638.2437,1053419458513.6321,1234559660614.2695,75.9914840221405,8,6.39034186274657
24,20,1090038452479.6715,30399665737.5354,1067352761938.7767,1141374498027.7178,149.34446420669556,8,2.788861775323686
24,30,1083517033378.1136,22473234469.651253,1063975189529.9758,1121150549583.0461,223.97605495452882,8,2.074100708835723
36,5,1084120030871.1498,42257754520.16643,1033518191749.1017,1116470443530.785,42.15187849998474,8,3.8978852264365975
36,10,1093565579930.8997,63380677863.15004,1025325387574.575,1197424435101.8472,87.63164405822754,8,5.795782075287606
36,20,1079624751865.9642,24954817241.527103,1058343571984.992,1122667301573.4067,174.7826949596405,8,2.311434338495534
36,30,1068108564586.2957,15838662460.680326,1056150837070.4849,1095954980412.2955,261.47848348617555,8,1.4828700925935392
48,5,1077332304158.0817,28955490887.303257,1046094583187.0437,1110277367939.3987,49.68221306800842,8,2.687702835563955
48,10,1072134774708.3445,29228845853.698204,1028852591255.8478,1105483769373.3381,101.02687797546386,8,2.7262286928105097
48,20,1062388278394.4807,12860245586.816887,1047385418066.908,1076885993723.6382,203.3147433280945,8,1.2105033393489386
48,30,1056627414738.9631,12678524285.993923,1042533020709.3087,1069935663120.6404,301.4042106628418,8,1.1999049153126617
