ModelType,NoOfSamples,NoOfRuns,Runtime(seconds)
MLP,500,1,51.64564824104309
LR,500,1,5.744550704956055
MLP,500,2,23.167054176330566
LR,500,2,5.6823508739471436
MLP,500,3,84.5638735294342
LR,500,3,5.7362916469573975
MLP,500,4,44.87358784675598
LR,500,4,5.763117074966431
MLP,500,5,88.56019186973572
LR,500,5,5.8315980434417725
MLP,500,6,21.9774112701416
LR,500,6,5.868335485458374
MLP,500,7,41.30177044868469
LR,500,7,5.895143747329712
MLP,500,8,86.53145384788513
LR,500,8,5.921061038970947
MLP,500,9,54.529098987579346
LR,500,9,5.8376784324646
MLP,500,10,48.586655139923096
LR,500,10,5.7933738231658936
