run_id,seed,model_type,training_time_sec,r2_score,mape_percent
1,1001,NN,60.609461069107056,0.935745120048523,5.856607481837273
1,1001,LR,0.10471296310424805,0.9054780006408691,7.010603696107864
2,1002,NN,88.77354598045349,0.9296268224716187,5.850810185074806
2,1002,LR,0.06159377098083496,0.8966866731643677,6.696155667304993
3,1003,NN,114.79272508621216,0.9333732724189758,5.407501012086868
3,1003,LR,0.06621909141540527,0.9006136655807495,6.576797366142273
4,1004,NN,62.192909955978394,0.9340574145317078,5.8398861438035965
4,1004,LR,0.04610395431518555,0.9075999855995178,6.8888939917087555
5,1005,NN,79.37285590171814,0.9283260107040405,5.499723926186562
5,1005,LR,0.03764605522155762,0.895790159702301,6.647918373346329
6,1006,NN,77.74939894676208,0.937174916267395,5.277956649661064
6,1006,LR,0.04439210891723633,0.9006210565567017,6.624901294708252
7,1007,NN,93.80700397491455,0.895717978477478,5.749507248401642
7,1007,LR,0.047225236892700195,0.8738366365432739,6.573072820901871
8,1008,NN,82.41018915176392,0.9372364282608032,5.603045970201492
8,1008,LR,0.05033135414123535,0.9021121263504028,6.915807723999023
9,1009,NN,118.6591591835022,0.9402835965156555,5.593568831682205
9,1009,LR,0.04225015640258789,0.9051400423049927,6.801597028970718
10,1010,NN,83.63674521446228,0.9292704463005066,5.991896986961365
10,1010,LR,0.04211616516113281,0.9116711616516113,6.714879721403122
