first stage decision,expected second stage value
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",30460.034912095904
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",57.14531673769432
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",30460.034912095904
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",30460.034912095904
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",57.14531673769432
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",57.14531673769432
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",30460.034912095904
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",252.48088425473594
